YearMonth,DATE,FED Rate,Indice des prix à la consommation (IPC),Core PCE excluding Food and Energy,Inflation 'noyau' (Core CPI),Taux de chômage,Taux de participation au marché du travail,Créations d'emplois non agricoles (Nonfarm Payrolls),Produit intérieur brut (PIB),Ventes au détail,Indice de confiance des consommateurs du Conference Board,Indice des prix à la production (PPI),New Home Sales,Indice des prix à la consommation (IPC)_change_prev_period,Indice des prix à la consommation (IPC)_change_prev_year,Core PCE excluding Food and Energy_change_prev_period,Core PCE excluding Food and Energy_change_prev_year,Inflation 'noyau' (Core CPI)_change_prev_period,Inflation 'noyau' (Core CPI)_change_prev_year,Taux de chômage_change_prev_period,Taux de chômage_change_prev_year,Taux de participation au marché du travail_change_prev_period,Taux de participation au marché du travail_change_prev_year,Créations d'emplois non agricoles (Nonfarm Payrolls)_change_prev_period,Créations d'emplois non agricoles (Nonfarm Payrolls)_change_prev_year,Produit intérieur brut (PIB)_change_prev_period,Produit intérieur brut (PIB)_change_prev_year,Ventes au détail_change_prev_period,Ventes au détail_change_prev_year,Indice de confiance des consommateurs du Conference Board_change_prev_period,Indice de confiance des consommateurs du Conference Board_change_prev_year,Indice des prix à la production (PPI)_change_prev_period,Indice des prix à la production (PPI)_change_prev_year,New Home Sales_change_prev_period,New Home Sales_change_prev_year,FED Rate_change_prev_period,Rate Change Indicator,USGG10YR Index,USGG5YR Index,USGG13Week Index,DXY Curncy
2018-05,2018-05-31,1.7,250.792,101.78,257.145,3.8,62.9,148755.0,20192.368666666665,20156.501391459653,-0.5404,203.2,662.0,0.2257949781598212,2.781921607842497,0.17519340170468745,1.9809023776840462,0.20067801893777215,2.272998448872432,-5.000000000000004,-13.636363636363647,0.0,0.15923566878981443,0.2216592780240667,1.6162416575015826,0.20789914177048452,3.242356871442831,0.17285907249191546,1.9993620689116476,3.835216355391591,2.014233666207299,1.4478282576135593,5.394190871369275,3.1152647975077885,4.251968503937009,0.010000000000000009,3,2.822000026702881,2.6640000343322754,1.8700000047683716,93.98999786376953
2018-06,2018-06-30,1.91,251.018,101.872,257.399,4.0,63.0,148968.0,20234.261333333332,20191.283608593825,-0.51093,204.2,636.0,0.09011451720948305,2.8075506935940187,0.09039103949695093,1.9362198184856405,0.0987769546364925,2.245517307127032,5.263157894736836,-6.976744186046513,0.15898251192369983,0.31847133757962887,0.14318846425329657,1.6235981117144638,0.20746781795750735,3.186046908129425,0.1725607855186162,2.014816617642712,-5.453367875647663,-8.238146551724135,0.49212598425196763,5.475206611570238,-3.92749244712991,2.746365105008075,0.20999999999999996,3,2.8489999771118164,2.7309999465942383,1.8799999952316284,94.62999725341797
2018-07,2018-07-31,1.91,251.214,102.006,257.699,3.8,63.0,149023.0,20276.154,20226.065825727994,-0.54026,204.3,628.0,0.07808204989283585,2.854124785561929,0.13153761583162282,1.9958004199579937,0.11655056934953834,2.267595293370639,-5.000000000000004,-11.627906976744185,0.0,0.15898251192369983,0.03692068095162426,1.533671272449788,0.2070382801553139,3.130030640718684,0.17226352622456975,2.0302226726339967,5.740512398958764,-5.242480049109899,0.04897159647405669,5.581395348837215,-1.2578616352201255,9.790209790209792,0.0,2,2.9639999866485596,2.8480000495910645,1.9850000143051147,94.48999786376953
2018-08,2018-08-31,1.91,251.663,102.016,257.891,3.8,62.6,149274.0,20285.727333333332,20261.209020266677,-0.57856,203.4,593.0,0.17873207703393845,2.6429238568742575,0.00980334490128243,1.8957629996604108,0.07450552776688824,2.1208941334864617,0.0,-13.636363636363647,-0.6349206349206327,-0.4769475357710662,0.16843037651905757,1.6112234270660997,0.04721473970523693,2.792549894192753,0.17375200318976436,2.042371018976219,7.089179284048419,5.901303265485414,-0.4405286343612369,4.9535603715170184,-5.573248407643316,6.654676258992809,0.0,2,2.8529999256134033,2.734999895095825,2.055000066757202,95.13999938964844
2018-09,2018-09-30,2.18,252.182,102.205,258.368,3.7,62.8,149361.0,20295.300666666666,20296.352214805356,-0.57745,203.6,595.0,0.2062281702117419,2.332055105808828,0.1852650564617253,1.9602952913008842,0.18496186373311296,2.1976804898501623,-2.631578947368407,-13.953488372093014,0.31948881789136685,-0.47543581616482644,0.058282085292815644,1.6068136517935594,0.04719245790907323,2.457585947574348,0.17345062924689625,2.054480173767792,-0.19185564159290847,2.203539823008871,0.0983284169124854,4.517453798767956,0.3372681281618828,-6.593406593406592,0.27000000000000024,3,3.055999994277954,2.947999954223633,2.1500000953674316,95.19000244140625
2018-10,2018-10-31,2.2,252.772,102.366,258.917,3.8,62.9,149525.0,20304.874,20331.49540934404,-0.52552,204.6,554.0,0.2339580144498754,2.492032470218053,0.157526539797459,1.8709073900841755,0.212487614565271,2.126409125691242,2.7027027027026973,-9.523809523809534,0.15923566878981443,0.31897926634767426,0.10980108595952665,1.6167615837331617,0.04717019713365023,2.125110751484538,0.17315029896380896,2.066550326356009,-8.992986405749425,-12.015938656264124,0.4911591355599265,4.976911236531545,-6.890756302521006,-11.501597444089462,0.020000000000000018,3,3.1589999198913574,2.986999988555908,2.2780001163482666,97.12999725341797
2018-11,2018-11-30,2.2,252.594,102.556,259.439,3.8,62.9,149622.0,20347.129666666668,20366.970990771308,-0.42972,202.3,625.0,-0.07041919199911595,2.147328577667773,0.18560850282320907,2.0102451882429095,0.2016090098371448,2.2153843729315836,0.0,-9.523809523809534,0.0,0.31897926634767426,0.06487209496739421,1.5246819338422313,0.2081060274822022,2.060914767682709,0.1744858443170072,2.0749798567349043,-18.2295630994063,-29.91257828810021,-1.1241446725317572,3.2669729453802976,12.8158844765343,-12.09563994374121,0.0,2,3.013000011444092,2.8450000286102295,2.308000087738037,97.2699966430664
2018-12,2018-12-31,2.4,252.767,102.735,260.063,3.9,63.0,149804.0,20389.38533333333,20402.44657219858,-0.38716,201.0,546.0,0.06848935445813442,2.0023809043401064,0.1745387885643046,2.0380799141860972,0.24051896592260924,2.2485295505299874,2.6315789473684292,-4.8780487804877986,0.15898251192369983,0.4784688995215225,0.1216398657951423,1.547576277275775,0.20767384569180258,1.9970650239302445,0.17418192152061085,2.0833814579632293,-9.904123615377447,-37.86152216479953,-0.6426099851705391,2.3942944472745697,-12.639999999999995,-13.33333333333333,0.19999999999999973,3,2.686000108718872,2.509999990463257,2.299999952316284,96.16999816894531
2019-01,2019-01-31,2.4,252.561,102.87,260.766,4.0,63.1,150062.0,20431.641,20437.92215362585,-0.48289,199.1,595.0,-0.08149798035343991,1.4875893578291333,0.13140604467805073,1.844426623897344,0.270319114983697,2.1794329242488475,2.564102564102577,0.0,0.15873015873015817,0.6379585326953707,0.17222504071987554,1.6218925013713248,0.20724345523837062,1.9335587266003706,0.1738790556403691,2.0917552686158025,24.726211385473707,-20.48182851120589,-0.9452736318408039,0.6063668519454168,8.974358974358964,0.8474576271186418,0.0,2,2.634999990463257,2.440000057220459,2.3399999141693115,95.58000183105469
2019-02,2019-02-28,2.4,253.319,102.963,261.186,3.8,63.1,150067.0,20488.519,20473.764615842967,-0.56614,199.2,648.0,0.3001255142321968,1.5188615351321877,0.09040536599591587,1.7441056147354805,0.16106394238510902,2.1410889637129227,-5.000000000000004,-7.317073170731703,0.0,0.15873015873015817,0.0033319561248079665,1.3596390506166678,0.27838194690283924,2.0367777288427646,0.17537233945652542,2.096464780234286,17.239951127585982,5.581768337032145,0.050226017076848706,-0.05017561465129328,8.907563025210074,4.854368932038833,0.0,2,2.7109999656677246,2.509000062942505,2.382999897003174,96.16000366210938
